Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2121866294,2128553744,2133560408,2137527754
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2095759417,2102350702,2107261123,2111139152
Ecuador,ECU,"Population, total",SP.POP.TOTL,17546065,17682454,17823897,17980083
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,109315124,110957008,112618250,114535772
El Salvador,SLV,"Population, total",SP.POP.TOTL,6234673,6255782,6280319,6309624
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1716468,1758786,1803545,1847549
Eritrea,ERI,"Population, total",SP.POP.TOTL,3291271,3350183,3409447,3470390
Estonia,EST,"Population, total",SP.POP.TOTL,1329522,1330932,1348840,1370286
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1192729,1206593,1218917,1230506
Ethiopia,ETH,"Population, total",SP.POP.TOTL,118917671,122138588,125384287,128691692
Euro area,EMU,"Population, total",SP.POP.TOTL,346986142,347207191,348700885,350292725
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,923973838,924702975,925061269,925640799
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,250660609,252189631,250840400,249053262
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,463151657,463426293,461268322,458932506
European Union,EUU,"Population, total",SP.POP.TOTL,446870959,446227358,447703403,449425965
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,52567,53305,53927,54439
Fiji,FJI,"Population, total",SP.POP.TOTL,914963,916711,919422,924145
Finland,FIN,"Population, total",SP.POP.TOTL,5529543,5541017,5556106,5583911
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,996691241,1018693077,1038158122,1058715836
France,FRA,"Population, total",SP.POP.TOTL,67601110,67842811,68065015,68287487
French Polynesia,PYF,"Population, total",SP.POP.TOTL,279209,279792,280378,281118
Gabon,GAB,"Population, total",SP.POP.TOTL,2322539,2376722,2430747,2484789
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2515733,2576010,2636470,2697845
Georgia,GEO,"Population, total",SP.POP.TOTL,3722716,3708610,3712502,3715483
Germany,DEU,"Population, total",SP.POP.TOTL,83160871,83196078,83797985,83901923
Ghana,GHA,"Population, total",SP.POP.TOTL,31887809,32518665,33149152,33787914
Gibraltar,GIB,"Population, total",SP.POP.TOTL,36173,36858,37609,38471
Greece,GRC,"Population, total",SP.POP.TOTL,10698599,10569207,10436882,10405588
Greenland,GRL,"Population, total",SP.POP.TOTL,56367,56653,56661,56865
Grenada,GRD,"Population, total",SP.POP.TOTL,116341,116688,116913,117081
Guam,GUM,"Population, total",SP.POP.TOTL,162158,163730,165180,166506
Guatemala,GTM,"Population, total",SP.POP.TOTL,17357325,17598650,17847877,18124838
